,Timestamp,SrcIP,DstIP,Confidence,AttackReason,ImpactScore
0,2025-12-27 14:25:24,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
1,2025-12-27 14:25:25,192.168.31.186,192.168.1.1,0.99,FwdPkts,1
2,2025-12-27 14:25:25,192.168.31.186,192.168.1.1,0.99,FwdPkts,1
3,2025-12-27 14:25:25,192.168.31.186,192.168.1.1,0.99,FwdPkts,1
4,2025-12-27 14:25:45,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
5,2025-12-27 14:25:45,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
6,2025-12-27 14:25:55,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
7,2025-12-27 14:25:57,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
8,2025-12-27 14:25:57,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
9,2025-12-27 14:25:58,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
10,2025-12-27 14:25:58,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
11,2025-12-27 14:25:59,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
12,2025-12-27 14:25:59,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
13,2025-12-27 14:25:59,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
14,2025-12-27 14:25:59,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
15,2025-12-27 14:26:00,216.239.38.223,192.168.31.186,0.99,FwdPkts,1
16,2025-12-27 14:26:00,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
17,2025-12-27 14:26:00,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
18,2025-12-27 14:26:04,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
19,2025-12-27 14:26:04,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
20,2025-12-27 14:26:05,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
21,2025-12-27 14:26:05,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
22,2025-12-27 14:26:07,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
23,2025-12-27 14:26:08,20.189.173.8,192.168.31.186,0.99,FwdPkts,1
24,2025-12-27 14:26:08,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
25,2025-12-27 14:26:08,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
26,2025-12-27 14:26:08,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
27,2025-12-27 14:26:08,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
28,2025-12-27 14:26:09,52.168.117.168,192.168.31.186,0.99,FwdPkts,1
29,2025-12-27 14:26:10,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
30,2025-12-27 14:26:10,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
31,2025-12-27 14:26:12,52.168.117.168,192.168.31.186,0.99,FwdPkts,1
32,2025-12-27 14:26:13,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
33,2025-12-27 14:26:13,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
34,2025-12-27 14:26:14,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
35,2025-12-27 14:26:14,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
36,2025-12-27 14:26:14,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
37,2025-12-27 14:26:14,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
38,2025-12-27 14:26:20,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
39,2025-12-27 14:26:20,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
40,2025-12-27 14:26:22,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
41,2025-12-27 14:26:22,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
42,2025-12-27 14:26:23,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
43,2025-12-27 14:26:23,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
44,2025-12-27 14:26:23,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
45,2025-12-27 14:26:23,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
46,2025-12-27 14:26:23,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
47,2025-12-27 14:26:23,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
48,2025-12-27 14:26:23,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
49,2025-12-27 14:26:24,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
50,2025-12-27 14:26:27,192.168.31.186,172.217.194.91,0.99,FwdPkts,1
51,2025-12-27 14:26:29,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
52,2025-12-27 14:26:29,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
53,2025-12-27 14:26:35,192.168.31.186,142.250.205.42,0.99,FwdPkts,1
54,2025-12-27 14:26:35,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
55,2025-12-27 14:26:35,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
56,2025-12-27 14:26:37,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
57,2025-12-27 14:26:38,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
58,2025-12-27 14:26:38,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
59,2025-12-27 14:26:44,192.168.31.186,142.250.205.42,0.99,FwdPkts,1
60,2025-12-27 14:26:44,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
61,2025-12-27 14:26:44,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
62,2025-12-27 14:26:44,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
63,2025-12-27 14:26:49,192.168.31.186,172.217.194.91,0.99,FwdPkts,1
64,2025-12-27 14:26:49,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
65,2025-12-27 14:26:49,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
66,2025-12-27 14:26:50,192.168.31.186,172.217.194.91,0.99,FwdPkts,1
67,2025-12-27 14:26:50,172.217.194.91,192.168.31.186,0.99,FwdPkts,1
68,2025-12-27 14:26:50,192.168.31.186,142.250.205.42,0.99,FwdPkts,1
69,2025-12-27 14:26:50,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
70,2025-12-27 14:26:50,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
71,2025-12-27 14:29:55,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
72,2025-12-27 14:30:14,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
73,2025-12-27 14:30:14,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
74,2025-12-27 14:30:23,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
75,2025-12-27 14:30:23,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
76,2025-12-27 14:30:24,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
77,2025-12-27 14:30:24,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
78,2025-12-27 14:30:24,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
79,2025-12-27 14:30:25,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
80,2025-12-27 14:30:45,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
81,2025-12-27 14:30:50,192.168.31.186,142.251.10.136,0.99,FwdPkts,1
82,2025-12-27 14:30:55,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
